# DerivedJoiningGroup-17.0.0.txt
# Date: 2025-01-27, 18:09:13 GMT
# © 2025 Unicode®, Inc.
# Unicode and the Unicode Logo are registered trademarks of Unicode, Inc. in the U.S. and other countries.
# For terms of use and license, see https://www.unicode.org/terms_of_use.html
#
# Unicode Character Database
#   For documentation, see https://www.unicode.org/reports/tr44/

# ================================================

# Joining Group (listing ArabicShaping.txt, field 3)

#  All code points not explicitly listed for Joining_Group
#  have the value No_Joining_Group.

# @missing: 0000..10FFFF; No_Joining_Group

# ================================================

0635..0636    ; Sad # Lo   [2] ARABIC LETTER SAD..ARABIC LETTER DAD
069D..069E    ; Sad # Lo   [2] ARABIC LETTER SAD WITH TWO DOTS BELOW..ARABIC LETTER SAD WITH THREE DOTS ABOVE
06FB          ; Sad # Lo       ARABIC LETTER DAD WITH DOT BELOW
08AF          ; Sad # Lo       ARABIC LETTER SAD WITH THREE DOTS BELOW

# Total code points: 6

# ================================================

0728          ; Sadhe # Lo       SYRIAC LETTER SADHE

# Total code points: 1

# ================================================

0633..0634    ; Seen # Lo   [2] ARABIC LETTER SEEN..ARABIC LETTER SHEEN
069A..069C    ; Seen # Lo   [3] ARABIC LETTER SEEN WITH DOT BELOW AND DOT ABOVE..ARABIC LETTER SEEN WITH THREE DOTS BELOW AND THREE DOTS ABOVE
06FA          ; Seen # Lo       ARABIC LETTER SHEEN WITH DOT BELOW
075C          ; Seen # Lo       ARABIC LETTER SEEN WITH FOUR DOTS ABOVE
076D          ; Seen # Lo       ARABIC LETTER SEEN WITH TWO DOTS VERTICALLY ABOVE
0770          ; Seen # Lo       ARABIC LETTER SEEN WITH SMALL ARABIC LETTER TAH AND TWO DOTS
077D..077E    ; Seen # Lo   [2] ARABIC LETTER SEEN WITH EXTENDED ARABIC-INDIC DIGIT FOUR ABOVE..ARABIC LETTER SEEN WITH INVERTED V

# Total code points: 11

# ================================================

0723          ; Semkath # Lo       SYRIAC LETTER SEMKATH

# Total code points: 1

# ================================================

072B          ; Shin # Lo       SYRIAC LETTER SHIN

# Total code points: 1

# ================================================

06AA          ; Swash_Kaf # Lo       ARABIC LETTER SWASH KAF

# Total code points: 1

# ================================================

0637..0638    ; Tah # Lo   [2] ARABIC LETTER TAH..ARABIC LETTER ZAH
069F          ; Tah # Lo       ARABIC LETTER TAH WITH THREE DOTS ABOVE
088B..088C    ; Tah # Lo   [2] ARABIC LETTER TAH WITH DOT BELOW..ARABIC LETTER TAH WITH THREE DOTS BELOW
08A3          ; Tah # Lo       ARABIC LETTER TAH WITH TWO DOTS ABOVE
10EC3         ; Tah # Lo       ARABIC LETTER TAH WITH TWO DOTS VERTICALLY BELOW

# Total code points: 7

# ================================================

072C          ; Taw # Lo       SYRIAC LETTER TAW

# Total code points: 1

# ================================================

0629          ; Teh_Marbuta # Lo       ARABIC LETTER TEH MARBUTA
06C0          ; Teh_Marbuta # Lo       ARABIC LETTER HEH WITH YEH ABOVE
06D5          ; Teh_Marbuta # Lo       ARABIC LETTER AE

# Total code points: 3

# ================================================

071B..071C    ; Teth # Lo   [2] SYRIAC LETTER TETH..SYRIAC LETTER TETH GARSHUNI

# Total code points: 2

# ================================================

0624          ; Waw # Lo       ARABIC LETTER WAW WITH HAMZA ABOVE
0648          ; Waw # Lo       ARABIC LETTER WAW
0676..0677    ; Waw # Lo   [2] ARABIC LETTER HIGH HAMZA WAW..ARABIC LETTER U WITH HAMZA ABOVE
06C4..06CB    ; Waw # Lo   [8] ARABIC LETTER WAW WITH RING..ARABIC LETTER VE
06CF          ; Waw # Lo       ARABIC LETTER WAW WITH DOT ABOVE
0778..0779    ; Waw # Lo   [2] ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE..ARABIC LETTER WAW WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE
08AB          ; Waw # Lo       ARABIC LETTER WAW WITH DOT WITHIN

# Total code points: 16

# ================================================

0718          ; Syriac_Waw # Lo       SYRIAC LETTER WAW

# Total code points: 1

# ================================================

0626          ; Yeh # Lo       ARABIC LETTER YEH WITH HAMZA ABOVE
0649..064A    ; Yeh # Lo   [2] ARABIC LETTER ALEF MAKSURA..ARABIC LETTER YEH
0678          ; Yeh # Lo       ARABIC LETTER HIGH HAMZA YEH
06D0..06D1    ; Yeh # Lo   [2] ARABIC LETTER E..ARABIC LETTER YEH WITH THREE DOTS BELOW
0777          ; Yeh # Lo       ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT FOUR BELOW
08A8..08A9    ; Yeh # Lo   [2] ARABIC LETTER YEH WITH TWO DOTS BELOW AND HAMZA ABOVE..ARABIC LETTER YEH WITH TWO DOTS BELOW AND DOT ABOVE
08BA          ; Yeh # Lo       ARABIC LETTER YEH WITH TWO DOTS BELOW AND SMALL NOON ABOVE
10EC7         ; Yeh # Lo       ARABIC LETTER YEH WITH FOUR DOTS BELOW

# Total code points: 11

# ================================================

06D2..06D3    ; Yeh_Barree # Lo   [2] ARABIC LETTER YEH BARREE..ARABIC LETTER YEH BARREE WITH HAMZA ABOVE

# Total code points: 2

# ================================================

06CD          ; Yeh_With_Tail # Lo       ARABIC LETTER YEH WITH TAIL

# Total code points: 1

# ================================================

071D          ; Yudh # Lo       SYRIAC LETTER YUDH

# Total code points: 1

# ================================================

071E          ; Yudh_He # Lo       SYRIAC LETTER YUDH HE

# Total code points: 1

# ================================================

0719          ; Zain # Lo       SYRIAC LETTER ZAIN

# Total code points: 1

# ================================================

074D          ; Zhain # Lo       SYRIAC LETTER SOGDIAN ZHAIN

# Total code points: 1

# ================================================

074E          ; Khaph # Lo       SYRIAC LETTER SOGDIAN KHAPH

# Total code points: 1

# ================================================

074F          ; Fe # Lo       SYRIAC LETTER SOGDIAN FE

# Total code points: 1

# ================================================

077A..077B    ; Burushaski_Yeh_Barree # Lo   [2] ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE..ARABIC LETTER YEH BARREE WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE

# Total code points: 2

# ================================================

063D..063F    ; Farsi_Yeh # Lo   [3] ARABIC LETTER FARSI YEH WITH INVERTED V..ARABIC LETTER FARSI YEH WITH THREE DOTS ABOVE
06CC          ; Farsi_Yeh # Lo       ARABIC LETTER FARSI YEH
06CE          ; Farsi_Yeh # Lo       ARABIC LETTER YEH WITH SMALL V
0775..0776    ; Farsi_Yeh # Lo   [2] ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT TWO ABOVE..ARABIC LETTER FARSI YEH WITH EXTENDED ARABIC-INDIC DIGIT THREE ABOVE

# Total code points: 7

# ================================================

06BD          ; Nya # Lo       ARABIC LETTER NOON WITH THREE DOTS ABOVE

# Total code points: 1

# ================================================

08AC          ; Rohingya_Yeh # Lo       ARABIC LETTER ROHINGYA YEH

# Total code points: 1

# ================================================

08B1          ; Straight_Waw # Lo       ARABIC LETTER STRAIGHT WAW

# Total code points: 1

# ================================================

10AC0         ; Manichaean_Aleph # Lo       MANICHAEAN LETTER ALEPH

# Total code points: 1

# ================================================

10AD9..10ADA  ; Manichaean_Ayin # Lo   [2] MANICHAEAN LETTER AYIN..MANICHAEAN LETTER AAYIN

# Total code points: 2

# ================================================

10AC1..10AC2  ; Manichaean_Beth # Lo   [2] MANICHAEAN LETTER BETH..MANICHAEAN LETTER BHETH

# Total code points: 2

# ================================================

10AC5         ; Manichaean_Daleth # Lo       MANICHAEAN LETTER DALETH

# Total code points: 1

# ================================================

10AD4         ; Manichaean_Dhamedh # Lo       MANICHAEAN LETTER DHAMEDH

# Total code points: 1

# ================================================

10AEC         ; Manichaean_Five # No       MANICHAEAN NUMBER FIVE

# Total code points: 1

# ================================================

10AC3..10AC4  ; Manichaean_Gimel # Lo   [2] MANICHAEAN LETTER GIMEL..MANICHAEAN LETTER GHIMEL

# Total code points: 2

# ================================================

10ACD         ; Manichaean_Heth # Lo       MANICHAEAN LETTER HETH

# Total code points: 1

# ================================================

10AEF         ; Manichaean_Hundred # No       MANICHAEAN NUMBER ONE HUNDRED

# Total code points: 1

# ================================================

10AD0..10AD2  ; Manichaean_Kaph # Lo   [3] MANICHAEAN LETTER KAPH..MANICHAEAN LETTER KHAPH

# Total code points: 3

# ================================================

10AD3         ; Manichaean_Lamedh # Lo       MANICHAEAN LETTER LAMEDH

# Total code points: 1

# ================================================

10AD6         ; Manichaean_Mem # Lo       MANICHAEAN LETTER MEM

# Total code points: 1

# ================================================

10AD7         ; Manichaean_Nun # Lo       MANICHAEAN LETTER NUN

# Total code points: 1

# ================================================

10AEB         ; Manichaean_One # No       MANICHAEAN NUMBER ONE

# Total code points: 1

# ================================================

10ADB..10ADC  ; Manichaean_Pe # Lo   [2] MANICHAEAN LETTER PE..MANICHAEAN LETTER FE

# Total code points: 2

# ================================================

10ADE..10AE0  ; Manichaean_Qoph # Lo   [3] MANICHAEAN LETTER QOPH..MANICHAEAN LETTER QHOPH

# Total code points: 3

# ================================================

10AE1         ; Manichaean_Resh # Lo       MANICHAEAN LETTER RESH

# Total code points: 1

# ================================================

10ADD         ; Manichaean_Sadhe # Lo       MANICHAEAN LETTER SADHE

# Total code points: 1

# ================================================

10AD8         ; Manichaean_Samekh # Lo       MANICHAEAN LETTER SAMEKH

# Total code points: 1

# ================================================

10AE4         ; Manichaean_Taw # Lo       MANICHAEAN LETTER TAW

# Total code points: 1

# ================================================

10AED         ; Manichaean_Ten # No       MANICHAEAN NUMBER TEN

# Total code points: 1

# ================================================

10ACE         ; Manichaean_Teth # Lo       MANICHAEAN LETTER TETH

# Total code points: 1

# ================================================

10AD5         ; Manichaean_Thamedh # Lo       MANICHAEAN LETTER THAMEDH

# Total code points: 1

# ================================================

10AEE         ; Manichaean_Twenty # No       MANICHAEAN NUMBER TWENTY

# Total code points: 1

# ================================================

10AC7         ; Manichaean_Waw # Lo       MANICHAEAN LETTER WAW

# Total code points: 1

# ================================================

10ACF         ; Manichaean_Yodh # Lo       MANICHAEAN LETTER YODH

# Total code points: 1

# ================================================

10AC9..10ACA  ; Manichaean_Zayin # Lo   [2] MANICHAEAN LETTER ZAYIN..MANICHAEAN LETTER ZHAYIN

# Total code points: 2

# ================================================

08BB          ; African_Feh # Lo       ARABIC LETTER AFRICAN FEH

# Total code points: 1

# ================================================

08BC          ; African_Qaf # Lo       ARABIC LETTER AFRICAN QAF
08C4          ; African_Qaf # Lo       ARABIC LETTER AFRICAN QAF WITH THREE DOTS ABOVE

# Total code points: 2

# ================================================

08BD          ; African_Noon # Lo       ARABIC LETTER AFRICAN NOON

# Total code points: 1

# ================================================

0860          ; Malayalam_Nga # Lo       SYRIAC LETTER MALAYALAM NGA

# Total code points: 1

# ================================================

0861          ; Malayalam_Ja # Lo       SYRIAC LETTER MALAYALAM JA

# Total code points: 1

# ================================================

0862          ; Malayalam_Nya # Lo       SYRIAC LETTER MALAYALAM NYA

# Total code points: 1

# ================================================

0863          ; Malayalam_Tta # Lo       SYRIAC LETTER MALAYALAM TTA

# Total code points: 1

# ================================================

0864          ; Malayalam_Nna # Lo       SYRIAC LETTER MALAYALAM NNA

# Total code points: 1

# ================================================

0865          ; Malayalam_Nnna # Lo       SYRIAC LETTER MALAYALAM NNNA

# Total code points: 1

# ================================================

0866          ; Malayalam_Bha # Lo       SYRIAC LETTER MALAYALAM BHA

# Total code points: 1

# ================================================

0867          ; Malayalam_Ra # Lo       SYRIAC LETTER MALAYALAM RA

# Total code points: 1

# ================================================

0868          ; Malayalam_Lla # Lo       SYRIAC LETTER MALAYALAM LLA

# Total code points: 1

# ================================================

0869          ; Malayalam_Llla # Lo       SYRIAC LETTER MALAYALAM LLLA

# Total code points: 1

# ================================================

086A          ; Malayalam_Ssa # Lo       SYRIAC LETTER MALAYALAM SSA

# Total code points: 1

# ================================================

10D02         ; Hanifi_Rohingya_Pa # Lo       HANIFI ROHINGYA LETTER PA
10D09         ; Hanifi_Rohingya_Pa # Lo       HANIFI ROHINGYA LETTER FA
10D1C         ; Hanifi_Rohingya_Pa # Lo       HANIFI ROHINGYA LETTER VA

# Total code points: 3

# ================================================

10D19         ; Hanifi_Rohingya_Kinna_Ya # Lo       HANIFI ROHINGYA LETTER KINNA YA
10D1E         ; Hanifi_Rohingya_Kinna_Ya # Lo       HANIFI ROHINGYA VOWEL I
10D20         ; Hanifi_Rohingya_Kinna_Ya # Lo       HANIFI ROHINGYA VOWEL E
10D23         ; Hanifi_Rohingya_Kinna_Ya # Lo       HANIFI ROHINGYA MARK NA KHONNA

# Total code points: 4

# ================================================

0886          ; Thin_Yeh # Lo       ARABIC LETTER THIN YEH

# Total code points: 1

# ================================================

088E          ; Vertical_Tail # Lo       ARABIC VERTICAL TAIL

# Total code points: 1

# ================================================

0620          ; Kashmiri_Yeh # Lo       ARABIC LETTER KASHMIRI YEH

# Total code points: 1

# ================================================

10EC6         ; Thin_Noon # Lo       ARABIC LETTER THIN NOON

# Total code points: 1

# EOF
